fips,county,Lat,Long
17203,Woodford,40.7406,-89.0181
18091,LaPorte,41.7563,-86.8181
18179,Wells,40.6568,-85.2225
19049,Dallas,41.5905,-94.1963
20059,Franklin,38.5482,-95.1011
21017,Bourbon,38.2016,-84.2719
21179,Nelson,37.7838,-85.6803
22015,Bossier,32.5606,-93.5625
22057,Lafourche,29.5164,-90.3291
22095,St. John the Baptist,29.9205,-90.6458
24013,Carroll,39.657,-77.1683
25001,Barnstable,41.6012,-70.6364
25005,Bristol,41.9726,-71.1854
26115,Monroe,41.8049,-83.4426
27129,Renville,44.5283,-94.7231
30063,Missoula,47.0326,-114.3397
34021,Mercer,40.2236,-74.7641
35043,Sandoval,35.2366,-106.6191
36007,Broome,42.1716,-75.8586
36107,Tioga,42.2149,-76.496
36109,Tompkins,42.4113,-76.4883
37019,Brunswick,34.283,-78.029
37049,Craven,35.2155,-77.4337
37085,Harnett,35.3999,-78.814
39013,Belmont,40.0105,-80.8814
39017,Butler,39.4791,-84.462
39049,Franklin,40.0251,-82.8637
39093,Lorain,41.2665,-82.304
39153,Summit,41.1386,-81.4344
39157,Tuscarawas,40.2761,-81.5949
40065,Jackson,34.6268,-99.1373
42003,Allegheny,40.417,-80.0544
45013,Beaufort,32.4599,-80.7869
45063,Lexington,33.9458,-81.0433
47013,Campbell,36.3718,-84.1256
48039,Brazoria,29.0455,-95.5673
48209,Hays,30.0392,-97.8915
49043,Summit,40.6813,-111.2829
50023,Washington,44.1617,-72.4722
50027,Windsor,43.33,-72.5262
51041,Chesterfield,37.3273,-77.3194
51177,Spotsylvania,38.3036,-77.7276
53039,Klickitat,45.6599,-120.9698
55139,Winnebago,44.0391,-88.7378
1081,Lee,32.6049,-85.5948
1117,Shelby,33.2846,-86.8756
5051,Garland,34.4269,-93.0887
5125,Saline,34.5095,-92.6406
6071,San Bernardino,34.0714,-117.6981
6083,Santa Barbara,34.4382,-119.6286
8045,Garfield,39.4667,-107.2599
12003,Baker,30.2752,-82.1603
12017,Citrus,28.8006,-82.3372
13059,Clarke,33.9666,-83.2815
13063,Clayton,33.4773,-84.36
13095,Dougherty,31.4756,-84.101
13217,Newton,33.5739,-83.894
